ID,State,Total.Popilation,12+Popilation,18+Popilation,18-24.Undergraduate,18-24.years.pop,GDP.Per.Capita,Property Total,Violent,LawEnforcementPer100k,Arrest.by.age.18-24,Gun.Ownership,Thoughts.of.Suicide.Past.Year.18+,Major.Depressive.Past.Year.18+,Received.Mental.Health.Services.Past.Year,Marijuana.Legality,Marijuana.Use.Past.Year.12+,Illicit.Drug.Use.Other.Than.Marijuana.12+,Cocaine.Use.Past.Year.12+,Alcohol.Use.Disorder.Past.Year,Substance.Use.Disorder.Past.Year,Cigarette.Use.Past.Month,Alcohol.Use.Past.Month
1,Alabama,4864680,4114335,3765887,51.48%,465929,"$46,641.61",3133,455,403,3.36%,55.50%,4.38%,8.26%,15.75%,No,12.49%,3.48%,1.68%,4.64%,7.05%,23.99%,44.04%
2,Alaska,738516,606788,552378,58.57%,74651,"$67,459.61",2868,673,585,12.21%,64.50%,5.61%,7.60%,13.40%,Yes,22.91%,3.30%,2.14%,6.59%,8.90%,16.65%,50.10%
4,Arizona,6946685,5824118,5312902,52.11%,678970,"$53,798.18",3582,476,462,9.36%,46.30%,4.46%,7.21%,14.96%,Yes,16.95%,3.14%,1.99%,5.43%,7.16%,17.27%,50.70%
5,Arkansas,2990671,2503679,2284728,57.49%,285421,"$43,719.52",3127,504,463,10.81%,57.20%,4.64%,8.14%,16.81%,No,13.30%,3.59%,1.40%,5.27%,7.59%,24.08%,40.38%
6,California,39148760,32890428,30075105,57.94%,3856220,"$76,814.38",2514,489,374,6.26%,28.30%,4.10%,6.71%,11.97%,Yes,18.52%,3.54%,2.82%,5.92%,7.78%,12.13%,52.02%
8,Colorado,5531141,4660876,4271322,50.50%,522730,"$69,169.22",2729,348,425,10.31%,45.10%,5.55%,8.62%,17.37%,Yes,27.16%,4.72%,3.88%,8.45%,11.44%,17.34%,62.33%
9,Connecticut,3581504,3083448,2828879,60.61%,350171,"$77,180.68",1988,273,414,6.84%,23.60%,4.42%,6.93%,16.97%,Yes,18.32%,3.63%,2.04%,5.97%,8.33%,14.98%,61.72%
10,Delaware,949495,810137,746069,63.89%,86090,"$79,817.69",2758,580,527,10.58%,34.40%,5.09%,8.04%,17.42%,Yes,17.16%,3.46%,2.22%,6.17%,8.39%,19.13%,53.20%
11,District of Columbia,684498,592297,562761,55.21%,75780,"$211,183.67",4351,1334,null,4.48%,null,4.09%,8.17%,17.59%,Yes,26.51%,5.40%,4.56%,10.13%,12.66%,19.08%,66.86%
12,Florida,20598139,17760491,16449587,62.03%,1762860,"$53,695.89",3200,595,420,null,35.30%,3.71%,6.21%,12.51%,No,14.57%,3.20%,2.03%,4.59%,6.59%,16.60%,51.56%
