Layer,Name,GEOID,HTJ,LFA,EDB,UMP,POV,HCSBD,EMSOD,HCSSPDP,MEOD
Community area,Rogers Park,1,6.61,5.68,87.88,4.58,21.81,15200,136,16.1,17
Community area,Norwood Park,10,1.1,57.98,92.86,3.8,6.6,10500,30,,6
Community area,Jefferson Park,11,2.26,9.39,92.62,4.44,8.08,8400,33,5,5
Community area,Forest Glen,12,1.07,17.52,94.7,4.72,4.05,3500,7,,3
Community area,North Park,13,5.18,76.78,86.9,4.83,14.75,2200,20,,1
Community area,Albany Park,14,6.31,3.9,80.97,6.63,13.22,10400,66,11.2,9
Community area,Portage Park,15,4.12,24.83,87.05,5.45,7.64,18200,70,15.5,22
Community area,Irving Park,16,2.35,15.22,86.33,5.94,8.67,13700,74,8.6,12
Community area,Dunning,17,2.38,47.36,89.18,4.35,6.94,9500,30,6.7,11
Community area,Montclare,18,3.93,0.08,78.91,4.08,12.18,5400,15,,4
Community area,Belmont Cragin,19,7.31,0.01,68.32,5.06,15.18,16800,88,8.2,32
Community area,West Ridge,2,8.14,9.33,82.72,6.53,17.07,16800,74,10.2,13
Community area,Hermosa,20,6.67,0,69.8,6.12,12.82,5800,34,,4
Community area,Avondale,21,2.71,0.01,84.04,5.04,14.03,14100,74,8.6,8
Community area,Logan Square,22,2.2,0.01,91.41,3.36,11.71,28300,109,7.5,17
Community area,Humboldt Park,23,5.67,16.43,74.92,11.18,27.25,8700,1129,16.5,65
Community area,West Town,24,1.38,0.61,94.36,3.46,8.81,37100,214,8.6,20
Community area,Austin,25,4.25,32.41,81.95,13.53,26.4,15800,1330,10.6,97
Community area,West Garfield Park,26,6.37,0.05,74.56,23.92,36.23,7100,1016,,23
Community area,East Garfield Park,27,3.74,52.34,78.17,19.09,45.46,6300,814,11.4,37
Community area,Near West Side,28,4.53,16.39,93.96,6.83,18.84,19700,430,11.3,32
Community area,North Lawndale,29,3.65,22.34,79.91,17.19,36.05,5300,672,,50
Community area,Uptown,3,4.6,0.02,90.04,3.44,20.76,17800,110,15.6,7
Community area,South Lawndale,30,9.24,4.79,59.19,9.09,25.15,12400,174,14.7,25
Community area,Lower West Side,31,4.39,12.1,76.79,6.47,14.09,8200,71,,10
Community area,Loop,32,3.86,0,96.05,5.44,9.5,15700,234,7.9,3
Community area,Near South Side,33,1.55,3.93,94.7,0.79,7.62,9000,54,15,7
Community area,Armour Square,34,5.68,18.84,66.75,7.51,28.33,900,41,9.9,3
Community area,Douglas,35,3.63,36.58,86.79,15.38,34.75,3800,142,,9
Community area,Oakland,36,1.76,7.8,91.8,19.82,29.19,5000,22,3.5,5
Community area,Fuller Park,37,1.43,97.1,77.15,24.82,47.48,4900,40,24.3,4
Community area,Grand Boulevard,38,1.62,10.54,87.55,12.77,25.44,3200,234,13.3,17
Community area,Kenwood,39,1.68,5.77,94.13,11.64,25.82,1500,46,8.2,5
Community area,Lincoln Square,4,2.38,7.9,93.41,5.6,7.66,14700,32,8.7,4
Community area,Washington Park,40,2.44,65.46,83.65,18.69,42.3,2200,124,7.5,9
Community area,Hyde Park,41,1.28,12.36,95.96,6.31,25.39,5500,38,9.1,3
Community area,Woodlawn,42,4.11,36.92,87.74,17,31.73,2700,192,,11
Community area,South Shore,43,2.86,57.6,89.68,16.66,30.32,13200,390,7.8,36
Community area,Chatham,44,1.67,55.06,88.19,16.35,24.7,7700,240,14.6,29
Community area,Avalon Park,45,1.69,19.17,90.51,15.75,20.09,2300,48,,8
Community area,South Chicago,46,3.28,25.35,81.66,16.48,29.1,4500,126,,10
Community area,Burnside,47,1.81,94.25,85.84,15.93,11.67,,10,,0
Community area,Calumet Heights,48,0.82,40.12,94.23,7.39,14.37,1200,36,,1
Community area,Roseland,49,2.31,66.6,85.95,18.76,23.12,2900,370,,29
Community area,North Center,5,0.85,15.9,96.58,3.23,4.4,15500,18,16.2,2
Community area,Pullman,50,0.67,77.88,89.2,15.69,16.84,,13,45.1,2
Community area,South Deering,51,2.15,70.77,80.54,17.41,33.14,2000,54,36.2,10
Community area,East Side,52,3.55,23.53,72.13,8.05,15.34,4300,27,,6
Community area,West Pullman,53,2.99,63.67,85.89,20.39,22.16,3800,120,12.3,15
Community area,Riverdale,54,6.22,99.85,86.35,29.83,47.72,1900,20,,2
Community area,Hegewisch,55,2.5,30.89,81.85,9.92,15.62,5700,12,2.9,0
Community area,Garfield Ridge,56,3.24,47.74,82.24,8.12,8.48,6800,88,,9
Community area,Archer Heights,57,11.43,0.58,70.53,8.78,11.11,6200,22,,4
Community area,Brighton Park,58,9.3,17.59,66.16,10.62,20.55,10700,38,9.7,9
Community area,McKinley Park,59,5.96,3.39,76.58,6.2,12.9,2100,31,6.4,3
Community area,Lake View,6,1.87,5.19,98.06,3.23,8.55,46900,88,10.4,7
Community area,Bridgeport,60,3.11,35.08,80.6,6.82,14.68,4200,48,14,6
Community area,New City,61,5.49,21.37,68.56,17.11,28.88,5500,183,12.9,21
Community area,West Elsdon,62,5.87,23.49,74.34,9.6,11.63,4100,12,,6
Community area,Gage Park,63,8,20.87,67.47,16.28,17.33,8600,37,6.2,12
Community area,Clearing,64,2.29,49.15,87.73,10.58,8.1,4200,30,11.4,8
Community area,West Lawn,65,7.06,33.48,71.87,10.57,17.13,11100,26,,5
Community area,Chicago Lawn,66,4.37,27.08,74.22,17.46,22.9,11200,213,16.6,25
Community area,West Englewood,67,2.6,63.5,80.06,24.64,32.28,7700,464,,26
Community area,Englewood,68,1.41,22.25,76.51,25.13,40.86,6100,264,,19
Community area,Greater Grand Crossing,69,1.95,10.56,86.27,20.06,33.41,6100,280,12.4,16
Community area,Lincoln Park,7,0.94,4.68,98.1,2.99,8.86,33600,52,6.3,2
Community area,Ashburn,70,3.94,68.21,81.97,10.51,13.54,7300,63,,9
Community area,Auburn Gresham,71,1.59,25.24,84.95,16.68,25.01,10400,322,15,31
Community area,Beverly,72,0.63,50.25,97.56,6.17,6.27,4400,7,,5
Community area,Washington Heights,73,0.85,64.86,88.58,14.7,20.18,6100,96,,9
Community area,Mount Greenwood,74,2.08,62.78,95.31,4.45,4.6,5400,11,,3
Community area,Morgan Park,75,1.1,32.35,93.56,11.18,11.58,2600,43,,7
Community area,O'Hare,76,3.35,75.77,90.81,3.82,10.85,1900,40,,5
Community area,Edgewater,77,3.77,0,91.19,5.55,14.86,17300,69,11,10
Community area,Near North Side,8,2.09,0,97.9,2.59,9.76,38900,250,6.8,17
Community area,Edison Park,9,0.09,26.39,95.65,1.83,3.26,3300,8,,4
